ID_MES,DEPARTAMENTO,SITIO_TURISTICO,NUMERO_VISITANTES
1,TACNA,MUSEO DE PEAÑAS,7.285714285714286
1,TACNA,MUSEO HISTÓRICO REGIONAL - TACNA,69.57142857142857
1,TUMBES,"MUSEO DE SITIO CABEZA DE VACA ""GRAN CHILIMASA""",4.285714285714286
1,TUMBES,PARQUE NACIONAL CERROS DE AMOTAPE,0.7142857142857143
1,TUMBES,SANTUARIO NACIONAL LOS MANGLARES DE TUMBES,6.0
1,UCAYALI,CATARATA SHAMBILLO,105.66666666666667
1,UCAYALI,PUENTE AGUAYTIA,132.33333333333334
1,UCAYALI,RECURSO TURÍSTICO DUCHA DEL DIABLO,405.6666666666667
1,UCAYALI,RECURSO TURÍSTICO LOS TOBOGANES,157.16666666666666
1,UCAYALI,RECURSO TURÍSTICO VELO DE LA NOVIA,516.5714285714286
1,UCAYALI,ZOOLÓGICO PARQUE NATURAL DE PUCALLPA,116.28571428571429
1,ÃNCASH,COMPLEJO ARQUEOLÓGICO DE PAÑAMARCA,1.0
1,ÃNCASH,MONUMENTO ARQUEOLÓGICO CHAVÍN DE HUÁNTAR,258.0
1,ÃNCASH,MONUMENTO ARQUEOLÓGICO DE WILLKAWAIN,32.0
1,ÃNCASH,MUSEO ARQUEOLÓGICO DE ÁNCASH,63.0
1,ÃNCASH,"MUSEO REGIONAL DE CASMA ""MAX UHLE""",38.42857142857143
1,ÃNCASH,PARQUE NACIONAL HUASCARÁN,3397.8571428571427
2,AMAZONAS,CAVERNA DE QUIOCTA,51.714285714285715
2,AMAZONAS,COMPLEJO ARQUEOLÓGICO DE KUÉLAP,575.8571428571429
2,AMAZONAS,LAS CATARATAS DE GOCTA,573.0
2,AMAZONAS,MUSEO DE LEYMEBAMBA,74.28571428571429
2,AMAZONAS,SITIO ARQUEOLÓGICO DE KARAJÍA,59.142857142857146
2,AMAZONAS,SITIO ARQUEOLÓGICO REVASH,41.285714285714285
2,APURÃMAC,CONJUNTO ARQUEOLÓGICO DE SAYWITE,0.0
2,APURÃMAC,MUSEO ARQUEOLÓGICO ANTROPOLÓGICO DE APURÍMAC,0.0
2,APURÃMAC,SANTUARIO NACIONAL DE AMPAY,3.7142857142857144
2,AREQUIPA,MONASTERIO DE SANTA CATALINA,3682.0
2,AREQUIPA,RESERVA NACIONAL DE SALINAS Y AGUADA BLANCA,10.714285714285714
2,AREQUIPA,RESERVA PAISAJÍSTICA SUB CUENCA DEL COTAHUASI,8.714285714285714
2,AREQUIPA,SANTUARIO NACIONAL LAGUNAS DE MEJÍA,18.571428571428573
2,AREQUIPA,VALLE DEL COLCA,4204.0
2,AYACUCHO,CENTRO ARQUEOLÓGICO INTIHUATANA,1.0
2,AYACUCHO,COMPLEJO ARQUEOLÓGICO DE WARI,59.0
2,AYACUCHO,MUSEO ARQUEÓLOGICO HIPÓLITO UNANUE,1.8571428571428572
2,AYACUCHO,MUSEO DE SITIO DE QUINUA,10.0
2,AYACUCHO,RESERVA NACIONAL PAMPA GALERAS BARBARA DE A´CHILLE,8.571428571428571
2,AYACUCHO,SANTUARIO HISTÓRICO PAMPA DE AYACUCHO,85.71428571428571
2,CAJAMARCA,CENTRO ARQUEOLÓGICO VENTANILLAS DE OTUZCO,192.0
2,CAJAMARCA,COMPLEJO MONUMENTAL BELÉN,259.0
2,CAJAMARCA,MONUMENTO ARQUEOLÓGICO CUMBEMAYO,236.71428571428572
2,CAJAMARCA,SITIO ARQUEOLÓGICO KUNTUR WASI,3.7142857142857144
2,CALLAO,MUSEO DE FORTALEZA DEL REAL FELIPE,96.0
2,CALLAO,"MUSEO NAVAL DEL PERÚ ""CAPITÁN DE NAVÍO JULIO JOSÉ ELÍAS MURGUÍA"" - SEDE CALLAO",48.857142857142854
2,CALLAO,"RESERVA NACIONAL SISTEMA DE ISLAS, ISLOTES Y PUNTAS GUANERAS - PALOMINO",729.7142857142857
2,CUSCO,CAMINO INKA CHACHABAMBA (KM. 104),0.0
2,CUSCO,CAMINO INKA INTIHUATANA KM. 122,1208.8333333333333
2,CUSCO,CAMINO INKA PISCACUCHO (KM. 82),0.0
2,CUSCO,CAMINO INKA QORYWAYRACHINA (KM. 88),0.0
2,CUSCO,CIUDAD INKA DE MACHUPICCHU,33320.71428571428
2,CUSCO,COMPLEJO ARQUEOLÓGICO DE HUCHUY QOSQO,61.4
2,CUSCO,COMPLEJO ARQUEOLÓGICO DE MORAY,13923.714285714286
2,CUSCO,COMPLEJO ARQUEOLÓGICO DE TARAWASI,7.2
2,CUSCO,COMPLEJO ARQUEOLÓGICO DE TIPÓN,834.7142857142857
2,CUSCO,EXPLANADA DE SAQSAYHUAMAN,16768.714285714286
2,CUSCO,LLAULLIPATA,7860.285714285715
2,CUSCO,MUSEO DE SITIO CHINCHERO,109.2
2,CUSCO,MUSEO DE SITIO MANUEL CHÁVEZ BALLÓN,505.85714285714283
2,CUSCO,MUSEO HISTÓRICO REGIONAL - CUSCO,1889.5714285714287
2,CUSCO,PARQUE ARQUEOLÓGICO DE CHOQUEQUIRAO,84.57142857142857
2,CUSCO,PARQUE ARQUEOLÓGICO DE OLLANTAYTAMBO,14544.142857142857
2,CUSCO,PARQUE ARQUEOLÓGICO DE PIKILLAQTA,768.2857142857143
2,CUSCO,PARQUE ARQUEOLÓGICO DE PISAQ,8358.714285714286
2,CUSCO,PARQUE ARQUEOLÓGICO DE RAQCHI,1774.857142857143
2,CUSCO,PUQRO,7344.714285714285
2,CUSCO,RUMIPUNKU,1309.857142857143
2,CUSCO,SANTUARIO HISTÓRICO DE MACHUPICCHU,33320.71428571428
