FECHA_CORTE,ANIO,ID_MES,MES,ID_PAIS,PAIS,ID_CONTINENTE,CONTINENTE,ID_OCM,OCM,DEPARTAMENTO_OCM,NUMERO_VISITANTES,TIPO_VISITANTE
20260330,2019,1,ENERO,38,CHAD,6,ÁFRICA,2,SANTA ROSA,TACNA,1,TURISTAS
20260330,2019,1,ENERO,38,CHAD,6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,38,CHAD,6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,38,CHAD,6,ÁFRICA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,38,CHAD,6,ÁFRICA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,39,CHILE,3,AMÉRICA DEL SUR,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,28694,TURISTAS
20260330,2019,1,ENERO,39,CHILE,3,AMÉRICA DEL SUR,2,SANTA ROSA,TACNA,91356,TURISTAS
20260330,2019,1,ENERO,39,CHILE,3,AMÉRICA DEL SUR,3,DESAGUADERO,PUNO,579,TURISTAS
20260330,2019,1,ENERO,39,CHILE,3,AMÉRICA DEL SUR,4,KASANI,PUNO,280,TURISTAS
20260330,2019,1,ENERO,39,CHILE,3,AMÉRICA DEL SUR,5,CEBAF - TUMBES,TUMBES,1335,TURISTAS
20260330,2019,1,ENERO,39,CHILE,3,AMÉRICA DEL SUR,6,OTRAS OCM,-,1655,TURISTAS
20260330,2019,1,ENERO,40,CHINA (R.P),5,ASIA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,2748,TURISTAS
20260330,2019,1,ENERO,40,CHINA (R.P),5,ASIA,2,SANTA ROSA,TACNA,49,TURISTAS
20260330,2019,1,ENERO,40,CHINA (R.P),5,ASIA,3,DESAGUADERO,PUNO,38,TURISTAS
20260330,2019,1,ENERO,40,CHINA (R.P),5,ASIA,4,KASANI,PUNO,15,TURISTAS
20260330,2019,1,ENERO,40,CHINA (R.P),5,ASIA,5,CEBAF - TUMBES,TUMBES,44,TURISTAS
20260330,2019,1,ENERO,40,CHINA (R.P),5,ASIA,6,OTRAS OCM,-,159,TURISTAS
20260330,2019,1,ENERO,41,CHIPRE,4,EUROPA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,9,TURISTAS
20260330,2019,1,ENERO,41,CHIPRE,4,EUROPA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,41,CHIPRE,4,EUROPA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,41,CHIPRE,4,EUROPA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,41,CHIPRE,4,EUROPA,5,CEBAF - TUMBES,TUMBES,2,TURISTAS
20260330,2019,1,ENERO,41,CHIPRE,4,EUROPA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,42,COLOMBIA,3,AMÉRICA DEL SUR,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,12524,TURISTAS
20260330,2019,1,ENERO,42,COLOMBIA,3,AMÉRICA DEL SUR,2,SANTA ROSA,TACNA,1756,TURISTAS
20260330,2019,1,ENERO,42,COLOMBIA,3,AMÉRICA DEL SUR,3,DESAGUADERO,PUNO,559,TURISTAS
20260330,2019,1,ENERO,42,COLOMBIA,3,AMÉRICA DEL SUR,4,KASANI,PUNO,269,TURISTAS
20260330,2019,1,ENERO,42,COLOMBIA,3,AMÉRICA DEL SUR,5,CEBAF - TUMBES,TUMBES,6251,TURISTAS
20260330,2019,1,ENERO,42,COLOMBIA,3,AMÉRICA DEL SUR,6,OTRAS OCM,-,1407,TURISTAS
20260330,2019,1,ENERO,43,COMORAS (ISL),6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,2,TURISTAS
20260330,2019,1,ENERO,43,COMORAS (ISL),6,ÁFRICA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,43,COMORAS (ISL),6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,43,COMORAS (ISL),6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,43,COMORAS (ISL),6,ÁFRICA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,43,COMORAS (ISL),6,ÁFRICA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,44,CONGO,6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
20260330,2019,1,ENERO,44,CONGO,6,ÁFRICA,2,SANTA ROSA,TACNA,1,TURISTAS
20260330,2019,1,ENERO,44,CONGO,6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,44,CONGO,6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,44,CONGO,6,ÁFRICA,5,CEBAF - TUMBES,TUMBES,1,TURISTAS
20260330,2019,1,ENERO,44,CONGO,6,ÁFRICA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,45,COREA DEL NORTE,5,ASIA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,1,TURISTAS
20260330,2019,1,ENERO,45,COREA DEL NORTE,5,ASIA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,45,COREA DEL NORTE,5,ASIA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,45,COREA DEL NORTE,5,ASIA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,45,COREA DEL NORTE,5,ASIA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,45,COREA DEL NORTE,5,ASIA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,46,COREA DEL SUR,5,ASIA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,3972,TURISTAS
20260330,2019,1,ENERO,46,COREA DEL SUR,5,ASIA,2,SANTA ROSA,TACNA,34,TURISTAS
20260330,2019,1,ENERO,46,COREA DEL SUR,5,ASIA,3,DESAGUADERO,PUNO,170,TURISTAS
20260330,2019,1,ENERO,46,COREA DEL SUR,5,ASIA,4,KASANI,PUNO,107,TURISTAS
20260330,2019,1,ENERO,46,COREA DEL SUR,5,ASIA,5,CEBAF - TUMBES,TUMBES,141,TURISTAS
20260330,2019,1,ENERO,46,COREA DEL SUR,5,ASIA,6,OTRAS OCM,-,232,TURISTAS
20260330,2019,1,ENERO,47,COSTA MARFIL,6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
20260330,2019,1,ENERO,47,COSTA MARFIL,6,ÁFRICA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,47,COSTA MARFIL,6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,47,COSTA MARFIL,6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,47,COSTA MARFIL,6,ÁFRICA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,47,COSTA MARFIL,6,ÁFRICA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,48,COSTA RICA,2,AMÉRICA CENTRAL,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,1699,TURISTAS
20260330,2019,1,ENERO,48,COSTA RICA,2,AMÉRICA CENTRAL,2,SANTA ROSA,TACNA,12,TURISTAS
20260330,2019,1,ENERO,48,COSTA RICA,2,AMÉRICA CENTRAL,3,DESAGUADERO,PUNO,48,TURISTAS
20260330,2019,1,ENERO,48,COSTA RICA,2,AMÉRICA CENTRAL,4,KASANI,PUNO,20,TURISTAS
20260330,2019,1,ENERO,48,COSTA RICA,2,AMÉRICA CENTRAL,5,CEBAF - TUMBES,TUMBES,15,TURISTAS
20260330,2019,1,ENERO,48,COSTA RICA,2,AMÉRICA CENTRAL,6,OTRAS OCM,-,303,TURISTAS
20260330,2019,1,ENERO,49,CROACIA,4,EUROPA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,95,TURISTAS
20260330,2019,1,ENERO,49,CROACIA,4,EUROPA,2,SANTA ROSA,TACNA,4,TURISTAS
20260330,2019,1,ENERO,49,CROACIA,4,EUROPA,3,DESAGUADERO,PUNO,9,TURISTAS
20260330,2019,1,ENERO,49,CROACIA,4,EUROPA,4,KASANI,PUNO,3,TURISTAS
20260330,2019,1,ENERO,49,CROACIA,4,EUROPA,5,CEBAF - TUMBES,TUMBES,2,TURISTAS
20260330,2019,1,ENERO,49,CROACIA,4,EUROPA,6,OTRAS OCM,-,16,TURISTAS
20260330,2019,1,ENERO,50,CUBA,2,AMÉRICA CENTRAL,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,772,TURISTAS
20260330,2019,1,ENERO,50,CUBA,2,AMÉRICA CENTRAL,2,SANTA ROSA,TACNA,16,TURISTAS
20260330,2019,1,ENERO,50,CUBA,2,AMÉRICA CENTRAL,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,50,CUBA,2,AMÉRICA CENTRAL,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,50,CUBA,2,AMÉRICA CENTRAL,5,CEBAF - TUMBES,TUMBES,7,TURISTAS
20260330,2019,1,ENERO,50,CUBA,2,AMÉRICA CENTRAL,6,OTRAS OCM,-,5,TURISTAS
20260330,2019,1,ENERO,51,DEMOC. REP. CONGO (ZAIRE),6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
20260330,2019,1,ENERO,51,DEMOC. REP. CONGO (ZAIRE),6,ÁFRICA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,51,DEMOC. REP. CONGO (ZAIRE),6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,51,DEMOC. REP. CONGO (ZAIRE),6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,51,DEMOC. REP. CONGO (ZAIRE),6,ÁFRICA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,51,DEMOC. REP. CONGO (ZAIRE),6,ÁFRICA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,52,DINAMARCA,4,EUROPA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,368,TURISTAS
20260330,2019,1,ENERO,52,DINAMARCA,4,EUROPA,2,SANTA ROSA,TACNA,13,TURISTAS
20260330,2019,1,ENERO,52,DINAMARCA,4,EUROPA,3,DESAGUADERO,PUNO,21,TURISTAS
20260330,2019,1,ENERO,52,DINAMARCA,4,EUROPA,4,KASANI,PUNO,6,TURISTAS
20260330,2019,1,ENERO,52,DINAMARCA,4,EUROPA,5,CEBAF - TUMBES,TUMBES,26,TURISTAS
20260330,2019,1,ENERO,52,DINAMARCA,4,EUROPA,6,OTRAS OCM,-,20,TURISTAS
20260330,2019,1,ENERO,53,DJIBOUTI,6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
20260330,2019,1,ENERO,53,DJIBOUTI,6,ÁFRICA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,53,DJIBOUTI,6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,53,DJIBOUTI,6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,71,GABÓN,6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
20260330,2019,1,ENERO,71,GABÓN,6,ÁFRICA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,71,GABÓN,6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,71,GABÓN,6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,71,GABÓN,6,ÁFRICA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,71,GABÓN,6,ÁFRICA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,72,GAMBIA,6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
20260330,2019,1,ENERO,72,GAMBIA,6,ÁFRICA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,72,GAMBIA,6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,72,GAMBIA,6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,72,GAMBIA,6,ÁFRICA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,72,GAMBIA,6,ÁFRICA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,73,GEORGIA,5,ASIA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
20260330,2019,1,ENERO,73,GEORGIA,5,ASIA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,73,GEORGIA,5,ASIA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,73,GEORGIA,5,ASIA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,73,GEORGIA,5,ASIA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,73,GEORGIA,5,ASIA,6,OTRAS OCM,-,1,TURISTAS
20260330,2019,1,ENERO,74,GHANA,6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,3,TURISTAS
20260330,2019,1,ENERO,74,GHANA,6,ÁFRICA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,74,GHANA,6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,74,GHANA,6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
